Sat Apr  8 09:28:08 2023    performance/output.dat

         69375377 function calls (69262752 primitive calls) in 78.555 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      648    0.011    0.000    0.030    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/ticker.py:753(_set_order_of_magnitude)
    16464    0.010    0.000    0.013    0.000 {built-in method _abc._abc_instancecheck}
     4641    0.010    0.000    0.013    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/font_manager.py:844(set_stretch)
    20068    0.010    0.000    0.010    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/numpy/core/fromnumeric.py:70(<dictcomp>)
     4672    0.010    0.000    0.019    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/transforms.py:2044(translate)
     3024    0.010    0.000    0.040    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/axes/_base.py:768(<dictcomp>)
    39951    0.010    0.000    0.010    0.000 /cr/users/filip/anaconda3/lib/python3.9/logging/__init__.py:1689(isEnabledFor)
     2271    0.010    0.000    0.019    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/lines.py:1087(set_linestyle)
    24210    0.010    0.000    0.012    0.000 {built-in method builtins.setattr}
   113521    0.010    0.000    0.010    0.000 {built-in method builtins.chr}
     7460    0.010    0.000    0.057    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/transforms.py:2508(composite_transform_factory)
    12106    0.010    0.000    0.017    0.000 {built-in method builtins.any}
     7383    0.010    0.000    0.014    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/numpy/core/fromnumeric.py:3127(ndim)
     6813    0.010    0.000    0.022    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/lines.py:1149(_set_markercolor)
     8093    0.010    0.000    0.135    0.000 <__array_function__ internals>:2(dot)
     2016    0.010    0.000    0.055    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/ipykernel/iostream.py:502(write)
     1613    0.009    0.000    0.024    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/numpy/lib/shape_base.py:612(column_stack)
     1458    0.009    0.000    0.040    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/offsetbox.py:48(_get_packed_offsets)
     2205    0.009    0.000    0.110    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/transforms.py:1996(rotate)
     2480    0.009    0.000    0.042    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/path.py:99(__init__)
    52052    0.009    0.000    0.009    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/numpy/core/fromnumeric.py:3317(_mean_dispatcher)
      891    0.009    0.000    0.721    0.001 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/offsetbox.py:808(get_extent)
     6540    0.009    0.000    0.297    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/artist.py:116(<lambda>)
    33165    0.009    0.000    0.009    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/transforms.py:1052(get_points)
     1350    0.009    0.000    0.017    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/transforms.py:632(padded)
     7373    0.009    0.000    0.050    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/numpy/core/fromnumeric.py:2763(amin)
1599/1572    0.009    0.000    0.034    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/transforms.py:1791(__eq__)
    10998    0.009    0.000    0.013    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/dviread.py:576(_width_of)
    34586    0.009    0.000    0.009    0.000 {method 'pop' of 'dict' objects}
     4553    0.008    0.000    0.015    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/markers.py:266(_set_fillstyle)
    14217    0.008    0.000    0.018    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/figure.py:46(_stale_figure_callback)
     7454    0.008    0.000    0.044    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/numpy/core/fromnumeric.py:2638(amax)
